nome,url_feed,url_sito,categoria,url_nuevo,reparacion,p0_dias,p2_orden,p3_utiles,p3_media,p3_cat,p3_correlati,p3_esplorazione,p4_pdf,p5_sumario_med,p6_distintos,p8_canal,p8_canonico,p7_licencia,p9_muro,p9_detalle,motivo
Gelman blog,https://statmodeling.stat.columbia.edu/feed/,https://statmodeling.stat.columbia.edu/,statistica,,,0,True,4,1.98,3,0,5,0,2208,10/10,https://statmodeling.stat.columbia.edu,,,0/0,statmodeling.stat.columbia.edu: HTTP 403; statmodeling.stat.columbia.edu: HTTP 403; statmodeling.stat.columbia.edu: HTTP 403,p7 sin licencia
Frank Harrell,https://www.fharrell.com/index.xml,https://www.fharrell.com/,statistica,,,36,True,8,2.49,8,0,0,0,858,10/10,https://fharrell.com/,,CC BY-SA 2.0 | https://www.fharrell.com/,0/3,,ACEPTADA
Eurosurveillance,https://www.eurosurveillance.org/rss/content/eurosurveillance/latestarticles?fmt=rss,https://www.eurosurveillance.org/,epidemiologia,,,6,True,9,3.01,7,0,0,0,1417,10/10,https://www.eurosurveillance.org/content/eurosurveillance?TRACK=RSS,https://www.eurosurveillance.org/,CC BY | https://doaj.org/toc/1560-7917,0/3,,ACEPTADA
Your Local Epi,https://yourlocalepidemiologist.substack.com/feed,https://yourlocalepidemiologist.substack.com/,epidemiologia,,,0,True,9,3.84,7,0,1,0,8366,10/10,https://yourlocalepidemiologist.substack.com,https://yourlocalepidemiologist.substack.com/,,1/3,"yourlocalepidemiologist.substack.com: ""for paid subscribers""",p7 sin licencia
Force of Infection,https://caitlinrivers.substack.com/feed,https://caitlinrivers.substack.com/,epidemiologia,,,177,True,10,2.33,10,0,0,0,280,10/10,https://caitlinrivers.substack.com,https://caitlinrivers.substack.com/,,0/3,,p7 sin licencia
Nightingale,https://nightingaledvs.com/feed/,https://nightingaledvs.com/,kpi,,,9,True,10,3.22,6,0,0,0,8545,10/10,https://nightingaledvs.com/,https://nightingaledvs.com/,Copyright (todos los derechos reservados) | https://nightingaledvs.com/,0/3,,ACEPTADA
Visualising Data,https://visualisingdata.com/feed/,https://visualisingdata.com/,kpi,,,,,,,,,,,,,,,,,,p1 roto (status=200); sin reparación entre 0 candidatos
FlowingData,https://flowingdata.com/feed,https://flowingdata.com/,kpi,,,0,True,4,2.05,3,0,0,0,488,10/10,https://flowingdata.com,https://flowingdata.com/,Copyright (todos los derechos reservados) | https://flowingdata.com/,0/3,,ACEPTADA
Storytelling w Data,https://www.storytellingwithdata.com/blog?format=rss,https://www.storytellingwithdata.com/blog,kpi,,,4,True,6,3.25,6,0,4,0,6223,10/10,https://www.storytellingwithdata.com/blog/,https://www.storytellingwithdata.com/blog,Copyright (todos los derechos reservados) | https://www.storytellingwithdata.com/blog,0/3,,ACEPTADA
Datawrapper blog,https://blog.datawrapper.de/feed/,https://blog.datawrapper.de/,kpi,,,0,True,10,1.51,9,0,0,0,63,10/10,https://www.datawrapper.de/blog,https://www.datawrapper.de/blog,Copyright (todos los derechos reservados) | https://blog.datawrapper.de/,0/3,,ACEPTADA
rOpenSci,https://ropensci.org/blog/index.xml,https://ropensci.org/blog/,qualita_dati,,,8,True,3,1.17,2,0,0,0,586,10/10,https://ropensci.org/blog/,,,0/3,,p3 3/10; p7 sin licencia
SSI,https://www.software.ac.uk/rss.xml,https://www.software.ac.uk/,qualita_dati,https://www.software.ac.uk/rss,autodescubierto en https://www.software.ac.uk/,0,True,3,1.33,3,0,0,0,198,3/3,https://www.software.ac.uk,https://www.software.ac.uk/,Copyright (todos los derechos reservados) | https://www.software.ac.uk/,0/3,,p3 3/10
CNIL,https://www.cnil.fr/fr/rss.xml,https://www.cnil.fr/,gdpr,,,0,True,2,1.8,2,0,0,0,254,10/10,https://www.cnil.fr/fr,https://www.cnil.fr/fr,CC BY-ND 4.0 | https://www.cnil.fr/fr/mentions-legales,0/3,,p3 2/10
EDPS,https://www.edps.europa.eu/feed/news_en,https://www.edps.europa.eu/,gdpr,,,,,,,,,,,,,,,,,,p1 roto (HTTP 403); sin reparación entre 0 candidatos
TeachPrivacy,https://teachprivacy.com/feed/,https://teachprivacy.com/,gdpr,,,0,True,9,2.72,8,0,1,0,5737,10/10,https://teachprivacy.com/,https://teachprivacy.com/,Copyright (todos los derechos reservados) | https://teachprivacy.com/,0/3,,ACEPTADA
